datenquelle|standdatum|offertnummerintern|vertriebspartnergpnr|fallcode|provisionsanteil|leistungstraegerart
6050|20170114|00105150869|2346923|0||1
6050|20170114|00105146550|2223394|0|1|20
6050|20170114|00105146550|2223394|0||1
6050|20170114|00105149590|2346923|0|1|20
6050|20170114|00105149590|2346923|0||1
6050|20170114|00105151324|986585|0|1|20
6050|20170114|00105151324|986585|0||1
6050|20170114|00105151336|986585|0||1
6050|20170114|00105151336|986585|0|1|20
6050|20170114|00105153015|2590635|0|.6|20
6050|20170114|00105153015|2590635|0||1
6050|20170114|00105153015|2321875|0|.4|21
6050|20170114|00105152790|2592672|0|.5|20
6050|20170114|00105152790|2592672|0||1
6050|20170114|00105152790|2578498|0|.5|21
6050|20170114|00105152712|2416993|0|1|20
6050|20170114|00105152712|2416993|0||1
6050|20170114|00105134788|2597232|0|1|20
6050|20170114|00105134788|2597232|0||1
6050|20170114|00105146175|2346923|0||1
6050|20170114|00105146175|2346923|0|1|20
6050|20170114|00105150789|2564339|0|1|20
6050|20170114|00105150789|2564339|0||1
6050|20170114|00105147912|2662346|0|1|20
6050|20170114|00105147912|2662346|0||1
6050|20170114|00105148761|2245729|0|1|20
6050|20170114|00105148761|2245729|0||1
6050|20170114|00105133918|2346923|0||1
6050|20170114|00105133918|2346923|0|1|20
6050|20170114|00105152989|2305683|0||1
6050|20170114|00105152989|2305683|0|1|20
6050|20170114|00105152788|2574666|0|1|20
6050|20170114|00105152788|2574666|0||1
6050|20170114|00105151916|2654340|0|1|20
6050|20170114|00105151916|2654340|0||1
6050|20170114|00105145226|2586174|0|1|20
6050|20170114|00105145226|2586174|0||1
6050|20170114|00105151367|2589960|0|1|20
6050|20170114|00105151367|2589960|0||1
6050|20170114|00105149658|2060173|0|1|20
6050|20170114|00105149658|2060173|0||1
6050|20170114|00105152768|2613135|0|1|20
6050|20170114|00105152768|2613135|0||1
6050|20170114|00105153031|2587935|0|1|20
6050|20170114|00105153031|2587935|0||1
6050|20170114|00105152783|2613135|0|1|20
6050|20170114|00105152783|2613135|0||1
6050|20170114|00105078487|264992|0|1|20
6050|20170114|00105078487|264992|0||1
6050|20170114|00105134933|264992|0|1|20
6050|20170114|00105134933|264992|0||1
6050|20170114|00105152731|2613135|0|1|20
6050|20170114|00105152731|2613135|0||1
6050|20170114|00105147778|2523862|0|1|20
6050|20170114|00105147778|2523862|0||1
6050|20170114|00105134250|111962|0|1|20
6050|20170114|00105134250|111962|0||1
6050|20170114|00105153091|2106414|0|1|20
6050|20170114|00105153091|2106414|0||1
6050|20170114|00105153079|1024923|0|1|20
6050|20170114|00105153079|1024923|0||1
6050|20170114|00105086148|2586327|0|1|20
6050|20170114|00105086148|2586327|0||1
6050|20170114|00105152427|2131168|0|1|20
6050|20170114|00105152427|2131168|0||1
6050|20170114|00105144381|617783|0|1|20
6050|20170114|00105144381|617783|0||1
6050|20170114|00105128185|2090414|0|1|20
6050|20170114|00105128185|2090414|0||1
6050|20170114|00105128186|2090414|0|1|20
6050|20170114|00105128186|2090414|0||1
6050|20170114|00105151905|2615348|0|1|20
6050|20170114|00105151905|2615348|0||1
6050|20170114|00105152921|2111044|0|1|20
6050|20170114|00105152921|2111044|0||1
6050|20170114|00105152048|2149054|0|1|20
6050|20170114|00105152048|2149054|0||1
6050|20170114|00105152512|231521|0|1|20
6050|20170114|00105152512|231521|0||1
6050|20170114|00105145736|2586327|0|1|20
6050|20170114|00105145736|2586327|0||1
6050|20170114|00105124310|2346923|0|1|20
6050|20170114|00105124310|2346923|0||1
6050|20170114|00105150574|2346923|0|1|20
6050|20170114|00105150574|2346923|0||1
6050|20170114|00105150575|2346923|0|1|20
6050|20170114|00105150575|2346923|0||1
6050|20170114|00105151134|2346923|0|1|20
6050|20170114|00105151134|2346923|0||1
6050|20170114|00105150405|2589955|0|1|20
6050|20170114|00105150405|2589955|0||1
6050|20170114|00105151684|2594189|0|1|20
6050|20170114|00105151684|2594189|0||1
