datenquelle|standdatum|offertnummerintern|aufschubzeitmonate|laufendenummer|ablaufrueckgewaehr|ablauf|einmalpraemie|jaehrlichepraemie|praemienzahldauermonate|praemienzahlungbis|rabattnachzahlweise|tarifid
6050|20170114|00105150937|387|1|20170220||0|6955.9|387|20490520|0|LR1ACL
6050|20170114|00105150939|0|1||20500505|0|2814|399|20500505|0|XDP3
6050|20170114|00105151012|0|1||20600505|0|2259.6|519|20600505|0|XDP2
6050|20170114|00105151049|0|2||20270201|63303|0|0|20170201|0|FGIE
6050|20170114|00105151393|0|1||20360205|0|2793.6|228|20360205|0|XDP3
6050|20170114|00105151411|0|1||20560605|0|1693.2|472|20560605|0|XDP3
6050|20170114|00105151444|0|1||20540205|0|3516|444|20540205|0|XDP3
6050|20170114|00105151474|0|1||20450205|0|4116.6|336|20450205|0|XDP2
6050|20170114|00105150912|0|1||20531005|0|1485.6|440|20531005|0|XDP3
6050|20170114|00105151085|0|1||20360205|0|1688.4|228|20360205|0|XDP3
6050|20170114|00105151086|0|1||20570201|0|645.9|456|20550201|0|R1
6050|20170114|00105151086|0|2||20570201|0|447.9|468|20560201|0|V1
6050|20170114|00105151100|0|1||20500205|0|6561.2|396|20500205|0|XDP2
6050|20170114|00105151132|0|1||20420205|0|2818.2|300|20420205|0|XDP1
6050|20170114|00105151139|0|1||20530205|0|1347.6|432|20530205|0|XDP2
6050|20170114|00105152983|0|1||20310201|52680|0|0|20170201|0|FGIE
6050|20170114|00105152984|0|1||20430205|0|3511.2|312|20430205|0|XDP3
6050|20170114|00105152987|0|2||20540101|0|187.2|418|20520101|0|R1M
6050|20170114|00105152995|0|1||20540105|0|2830.8|442|20540105|0|XDP2
6050|20170114|00105150863|304|1|20170120|20520520|0|1220|304|20420520|0|LR1ACT
6050|20170114|00105150921|0|2||20580505|0|2503.2|495|20580505|0|XDP3
6050|20170114|00105150921|0|1||20580505|0|318|471|20560505|0|R2
6050|20170114|00105150932|0|2||20270201|2000|0|0|20170201|0|4N
6050|20170114|00105151483|0|2||20321005|0|1666.8|188|20321005|0|40Z
6050|20170114|00105151531|0|1||20550205|0|2922|456|20550205|0|XDP3
6050|20170114|00105151534|0|2||20270201|0|1084.2|120|20270201|0|40
6050|20170114|00105151568|0|2||20570205|0|2276.2|480|20570205|0|XDP1
6050|20170114|00105151185|0|1||20370201|0|818.9|240|20370201|0|40
6050|20170114|00105151630|0|1||20370205|0|3300|240|20370205|0|XUP3
6050|20170114|00105151796|303|1|20170220||0|6107.7|63|20220520|0|LR1ACL
6050|20170114|00105151800|0|2||20551105|0|246|441|20531105|0|R1
6050|20170114|00105153004|0|1||20540101|0|3032.4|442|20540101|0|FGVI
6050|20170114|00105153020|0|1||20440201|0|3370.8|324|20440201|0|FGV
6050|20170114|00105153021|81|1|20401201||0|56406|81|20231201|0|LR1AC
6050|20170114|00105153029|0|2||20270120|2400|0|0|20170120|0|4I
6050|20170114|00105153029|0|1||20270120|27600|0|0|20170120|0|FGIE
6050|20170114|00105153030|0|2||20270201|4800|0|0|20170201|0|4I
6050|20170114|00105153039|0|1||20360205|0|4702.4|228|20360205|0|XDP2
6050|20170114|00105153040|0|1||20470205|0|3498.9|360|20470205|0|XDP3
6050|20170114|00105153042|0|1||20490205|0|5851.2|384|20490205|0|XDP1
6050|20170114|00105151074|0|1||20270110|103380|0|0|20170110|0|FGIE
6050|20170114|00105151144|0|2||20330205|0|1464.4|192|20330205|0|XDP3
6050|20170114|00105151595|0|1||20610205|0|6484.3|528|20610205|0|XDP1
6050|20170114|00105151644|0|2||20270201|46000|0|0|20170201|0|FGIE
6050|20170114|00105151650|0|2||20460205|0|1000.2|348|20460205|0|40Z
6050|20170114|00105151698|0|1||20270117|89756|0|0|20170117|0|FGIE
6050|20170114|00105151819|0|1||20380205|0|1402.8|252|20380205|0|XDP3
6050|20170114|00105151896|0|1||20590705|0|1692|508|20590705|0|XDP2
6050|20170114|00105145662|0|1||20510105|0|2436.7|408|20510105|0|XDP1
6050|20170114|00105151913|0|2||20320201|6315|0|0|20170201|0|4I
6050|20170114|00105153581|0|1||20450201|0|550.2|336|20450201|0|40
6050|20170114|00105153588|0|1||20560205|0|3391.2|468|20560205|0|XDP2
6050|20170114|00105153596|0|1||20510705|0|2252.4|412|20510705|0|XDP3
6050|20170114|00105153612|0|1||20440205|0|1298.4|324|20440205|0|XDP3
6050|20170114|00105151164|0|1||20470205|0|2248.8|360|20470205|0|XDP3
6050|20170114|00105151170|0|1||20540205|0|6768|444|20540205|0|XDP3
6050|20170114|00105151226|0|1||20550205|0|3394.6|456|20550205|0|XDP3
6050|20170114|00105151759|0|1||20450205|0|6343.2|336|20450205|0|XDP3
6050|20170114|00105151764|0|1||20620205|0|2324.4|540|20620205|0|XDP2
6050|20170114|00105151770|0|1||20620120|0|768.1|516|20600120|0|R2
6050|20170114|00105151775|0|2||20510205|0|2545.2|408|20510205|0|XDP2
6050|20170114|00105151780|0|1||20410205|0|2975.5|288|20410205|0|XDP2
6050|20170114|00105152018|0|1||20360501|0|1574|207|20340501|0|R2
6050|20170114|00105152028|0|2||20270111|3902|0|0|20170111|0|4I
6050|20170114|00105152030|0|1||20270301|2439|0|0|20170301|0|4N
6050|20170114|00105152397|0|1||20510305|0|3538.6|408|20510305|0|XDP3
6050|20170114|00105152404|0|4||20390901|0|240|271|20390901|0|U
6050|20170114|00105152408|124|1||20410520|279685|0|0|20170120|0|PKE
6050|20170114|00105152412|0|2||20450205|0|1357.9|336|20450205|0|XDP1
6050|20170114|00105153402|0|1||20560105|0|2821.2|467|20560105|0|XDP2
6050|20170114|00105146462|0|1||20320505|0|1339.2|184|20320505|0|XDP3
6050|20170114|00105153446|0|2||20530405|0|430.8|410|20510405|0|R1
6050|20170114|00105133788|0|1||20550105|0|2263.2|456|20550105|0|XDP3
6050|20170114|00105153455|0|2||20600105|0|188.4|491|20580105|0|R1
6050|20170114|00105153458|0|1||20370205|0|5000|240|20370205|0|XDP1
6050|20170114|00105151231|0|1||20570118|0|343.2|456|20550118|0|R2
6050|20170114|00105151232|0|1||20491105|0|6595.2|392|20491105|0|XDP2
6050|20170114|00105151274|0|2||20591005|0|453.6|500|20581005|0|R2
6050|20170114|00105151275|0|1||20450201|0|669.1|312|20430201|0|R2
6050|20170114|00105151292|0|1||20360205|0|5232|228|20360205|0|XUP1
6050|20170114|00105086148|0|1||20531101|0|1800|444|20531101|0|XDP3
6050|20170114|00105151306|0|1||20270201|47500|0|0|20170201|0|FGNE
6050|20170114|00105151843|0|2||20270111|134352|0|0|20170111|0|FGIE
