datenquelle|standdatum|initiantlogin|initiantgpnr|initiantfirmagpnr|erstellerlogin|erstellergpnr|erstellerfirmagpnr|mutationsdatum|erstellungsdatum|gueltigkeitsenddatum|offertnummerextern|offertnummerintern|status|unterzeichnungsdatum|freigabedatum|vertragsbeginn|vertragsende|ersatzgeschaeft|inkassozahlweise|interneabschlusskosten|einmalpraemienetto|jaehrlichepraemie|produktid|provisionierungsfaktor|zuzahlung|praemienproduktion|altvertragsnummer1|altvertragsnummer2|altvertragsnummer3|client_used
6050|20170114|WAN2|2652385|2296213|WAN2|2652385|2296213|20170113|20170113|20170211|105.153.663|00105153663|0|||20170205|20480205||12|1|0|3600|SLPDV3|1|0|0||||Offerte Easy
6050|20170114|RUCJ|2587325|2296213|RUCJ|2587325|2296213|20170113|20170113|20170713|105.153.632|00105153632|5|||20170205|20410205||1|1|0|6768|SLPDV1|1|0|0||||Offerte Easy
6050|20170114|CENI|2539884|2296213|CENI|2539884|2296213|20170113|20170105|20170707|105.150.090|00105150090|4|20170113|20170113|20170105|20470105||1|1|0|6768|SLPDV1|1|0|0||||Offerte Easy
6050|20170114|CRAF|2652992|2296213|CRAF|2652992|2296213|20170113|20170109|20170709|105.150.976|00105150976|4|20170113|20170113|20170201|20270201||0|1|78049|0|SLFIE|1|0|0||||Offerte Easy
6050|20170114|WP83712|2612265|2612263|WP83712|2612265|2612263|20170113|20170113|20170211|105.153.661|00105153661|0|||20170205|20570205||12|1|0|4800|SLPDV3|1|0|0||||Offerte Easy
6050|20170114|111168|2503111|2346923|111168|2503111|2346923|20170113|20170113|20170713|105.153.660|00105153660|2|||20170205|20520405||12|1|0|1800|SLPDV3|1|0|0||||AWD Tarifrechner
6050|20170114|110122|2503111|2346923|110122|2503111|2346923|20170113|20170113|20170713|105.153.659|00105153659|2|||20170205|20531005||1|1|0|2200|SLPDP|1|0|0||||AWD Tarifrechner
6050|20170114|110122|2503111|2346923|110122|2503111|2346923|20170113|20170113|20170713|105.153.658|00105153658|2|||20170205|20531005||1|1|0|3800|SLPDV3|1|0|0||||AWD Tarifrechner
6050|20170114|SCHNA|1080098|2296213|SCHNA|1080098|2296213|20170113|20170113|20170713|105.153.657|00105153657|2|||20170205|20600205||12|1|0|1800|SLPDV3|1|0|0||||Offerte Easy
6050|20170114|110122|2503111|2346923|110122|2503111|2346923|20170113|20170113|20170713|105.153.656|00105153656|2|||20170205|20420105||1|1|0|2000|SLPDV3|1|0|0||||AWD Tarifrechner
6050|20170114|||2667520|DEBA|2228018|2296213|20170113|20161229|20170228|105.143.336|00105143336|4|20170109|20170113|20170105|20570105||1|1|0|1800|SLPDV3|1|0|0||||Offerte Easy
6050|20170114|110122|2503111|2346923|110122|2503111|2346923|20170113|20170113|20170713|105.153.655|00105153655|2|||20170205|20430105||1|1|0|4000|SLPDP|1|0|0||||AWD Tarifrechner
6050|20170114|WP81658|2571579|2567681|DEBA|2228018|2296213|20170113|20161222|20170222|105.136.607|00105136607|4|20170110|20170113|20161205|20510505||12|1|0|6768|SLPDV1|1|6204|0||||Offerte Easy
6050|20170114|110122|2503111|2346923|110122|2503111|2346923|20170113|20170113|20170713|105.153.654|00105153654|2|||20170205|20420105||1|1|0|4000|SLPDP|1|0|0||||AWD Tarifrechner
6050|20170114|106541|2583904|2579406|106541|2583904|2579406|20170113|20161228|20170628|105.148.587|00105148587|4|20161229|20170113|20170201|20420201||12|1|0|1320|SLATFP|1|0|0||||Offerte Easy
6050|20170114|ONLVERK|0|2296213|ONLVERK|0|2296213|20170113|20170113|20170211|105.153.653|00105153653|0|||20170201|20180201||1|1|0|283.1|SL42|1|0|0||||Verkauf Online
6050|20170114|MTHO|2423324|2296213|MTHO|2423324|2296213|20170113|20170113|20170713|105.153.652|00105153652|2|||20170201|20270201||0|1|78049|0|SLFIE|1|0|0||||Offerte Easy
6050|20170114|101602|2503111|2346923|101602|2503111|2346923|20170113|20170113|20170713|105.153.651|00105153651|2|||20170205|20550205||12|1|0|1920|SLPDV3|1|0|0||||AWD Tarifrechner
6050|20170114|SST9|2614354|2296213|SST9|2614354|2296213|20170113|20170113|20170211|105.153.650|00105153650|0|||20170201|20410201||0|1|67411|0|SLFNVE|1|0|0|101.051.258|||Offerte Easy
6050|20170114|WP82494|2370161|2587462|WP82494|2370161|2587462|20170113|20170113|20170713|105.153.649|00105153649|2|||20170205|20410205||12|1|0|1800|SLPDV3|1|0|0||||Offerte Easy
6050|20170114|110906|2503111|2346923|DEBA|2228018|2296213|20170113|20161227|20170227|105.136.728|00105136728|4|20170109|20170113|20170205|20370405||12|1|0|1800|SLPDV6|1|0|0||||Offerte Easy
6050|20170114|FCOB|2344060|2296213|FCOB|2344060|2296213|20170113|20161121|20170521|105.126.286|00105126286|4|20161227|20170113|20161201|20211201||1|1|0|504.5|SLR40|1|0|0||||Offerte Easy
6050|20170114|||2517063|DEBA|2228018|2296213|20170113|20161221|20170221|105.122.099|00105122099|4|20170111|20170113|20161201|||1|1|0|9975.4|SL30|1|0|0||||Offerte Easy
6050|20170114|110949|2503111|2346923|110949|2503111|2346923|20170113|20170113|20170713|105.153.648|00105153648|2|||20170205|20521105||12|1|0|3600|SLPDV3|1|0|0||||Offerte Easy
6050|20170114|111062|2503111|2346923|111062|2503111|2346923|20170113|20170113|20170713|105.153.647|00105153647|2|||20170305|20500905||12|1|0|1800|SLPDP|1|0|0||||Offerte Easy
6050|20170114|WAN2|2652385|2296213|WAN2|2652385|2296213|20170113|20170113|20170713|105.153.646|00105153646|2|||20170205|20480205||12|1|0|3600|SLPDV3|1|0|0||||Offerte Easy
6050|20170114|KSHE|2656163|2296213|KSHE|2656163|2296213|20170113|20170113|20170211|105.153.645|00105153645|0|||20170201|20450201||1|1|0|3839|SLR40|1|0|0||||Offerte Easy
6050|20170114|LOXA|2661461|2296213|LOXA|2661461|2296213|20170113|20170112|20170712|105.153.059|00105153059|4|20170112|20170113|20170205|20480205||12|1|0|1800|SLPUP|1|0|0||||Offerte Easy
6050|20170114|101602|2503111|2346923|101602|2503111|2346923|20170113|20170113|20170713|105.153.644|00105153644|2|||20170205|20590205||12|1|0|3000|SLPDV3|1|0|0||||AWD Tarifrechner
6050|20170114|NSAM|2659800|2296213|NSAM|2659800|2296213|20170113|20170113|20170211|105.153.643|00105153643|0|||20170201|20460601||1|1|0|1689.2|SLR40|1|0|0||||Offerte Easy
6050|20170114|110538|2503111|2346923|110538|2503111|2346923|20170113|20170113|20170713|105.153.642|00105153642|2|||20170305|20581005||12|1|0|3000|SLPDV3|1|0|0||||AWD Tarifrechner
6050|20170114|AMMANNO|147652|2296213|AMMANNO|147652|2296213|20170113|20170113|20170713|105.153.641|00105153641|2|||20170116|20270116||0|1|40000|0|SLFIE|1|0|0||||Offerte Easy
6050|20170114|110949|2503111|2346923|110949|2503111|2346923|20170113|20170113|20170713|105.153.639|00105153639|2|||20170205|20521105||12|1|0|4800|SLPDV3|1|0|0||||Offerte Easy
6050|20170114|MTHO|2423324|2296213|MTHO|2423324|2296213|20170113|20170113|20170713|105.153.638|00105153638|2|||20170201|20270201||0|1|68293|0|SLFIE|1|0|0||||Offerte Easy
6050|20170114|101602|2503111|2346923|101602|2503111|2346923|20170113|20170113|20170713|105.153.640|00105153640|2|||20170205|20590205||12|1|0|2400|SLPDV3|1|0|0||||AWD Tarifrechner
