datenquelle|standdatum|initiantlogin|initiantgpnr|initiantfirmagpnr|erstellerlogin|erstellergpnr|erstellerfirmagpnr|mutationsdatum|erstellungsdatum|gueltigkeitsenddatum|offertnummerextern|offertnummerintern|status|unterzeichnungsdatum|freigabedatum|vertragsbeginn|vertragsende|ersatzgeschaeft|inkassozahlweise|interneabschlusskosten|einmalpraemienetto|jaehrlichepraemie|produktid|provisionierungsfaktor|zuzahlung|praemienproduktion|altvertragsnummer1|altvertragsnummer2|altvertragsnummer3|client_used
6050|20170128|ECAB|2189879|2296213|ECAB|2189879|2296213|2017011|20170115|20170213|105.153.743|00105153743|0| | |20170205|20460205| |1|1.0000|0.00|3500.00|SLPUP|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|VALI01|2594633|2594184|VALI01|2594633|2594184|2017011|20170115|20170213|105.153.768|00105153768|0| | |20170201|20450201| |1|1.0000|0.00|1312.30|SLR40|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|KNUP|2591633|2296213|KNUP|2591633|2296213|2017011|20170115|20170213|105.153.787|00105153787|0| | |20170205|20340205| |12|1.0000|0.00|120000.00|SLPUP|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|KNUP|2591633|2296213|KNUP|2591633|2296213|2017011|20170115|20170213|105.153.788|00105153788|0| | |20170205|20390205| |12|1.0000|0.00|120000.00|SLPUP|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|KNUP|2591633|2296213|KNUP|2591633|2296213|2017011|20170115|20170213|105.153.789|00105153789|0| | |20170205|20390205| |12|1.0000|0.00|240000.00|SLPUP|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|KNUP|2591633|2296213|KNUP|2591633|2296213|2017011|20170115|20170213|105.153.790|00105153790|0| | |20170205|20380205| |1|1.0000|0.00|6768.00|SLPDV1|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|TISCHHS|2172713|2296213|TISCHHS|2172713|2296213|2017011|20170115|20170213|105.153.799|00105153799|0| | |20170120| | |1|1.0000|0.00|1148.30|SLCAPC|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|TISCHHS|2172713|2296213|TISCHHS|2172713|2296213|2017011|20170115|20170213|105.153.798|00105153798|0| | |20170120|20480520| |0|1.0000|200000.00|0.00|SLPKE|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|TISCHHS|2172713|2296213|TISCHHS|2172713|2296213|2017011|20170115|20170213|105.153.800|00105153800|0| | |20170201| | |1|1.0000|0.00|1648.70|SLCAXC|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|LUHO|2652608|2296213|LUHO|2652608|2296213|2017011|20170116|20170214|105.153.801|00105153801|0| | |20170205|20440405| |12|1.0000|0.00|3600.00|SLPDV3|1.0000|0.00|0| | | |Offerte Easy
